Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
1,Fernando Abad*\abadfe01,33,SFG,3.49,64.90%,37.80%,16.20%,12.60%,33.30%,62.20%,40.40%,73.90%,71.40%,2.00%,18.40%,66.70%
2,Bryan Abreu\abreubr01,22,HOU,4.56,61.60%,31.10%,32.20%,18.90%,17.80%,68.90%,42.50%,53.20%,46.90%,6.30%,21.90%,23.10%
3,Jason Adam\adamja01,27,TOR,4.36,57.70%,22.30%,21.80%,29.70%,26.20%,77.70%,44.80%,71.90%,46.20%,5.50%,15.40%,27.80%
4,Austin Adams\adamsau01,32,TOT,3.98,57.50%,25.10%,19.70%,26.20%,29.00%,74.90%,43.10%,73.70%,56.30%,8.80%,17.50%,7.10%
5,Austin Adams\adamsau02,28,TOT,4.16,62.30%,29.10%,28.50%,24.60%,17.80%,70.90%,44.20%,59.80%,54.60%,5.40%,25.40%,26.40%
6,Chance Adams\adamsch01,24,NYY,4.19,60.30%,24.30%,13.70%,33.90%,28.10%,75.70%,45.70%,81.90%,53.20%,6.50%,18.50%,30.40%
7,Ehire Adrianza\adriaeh01,29,MIN,2.63,66.70%,28.60%,14.30%,7.10%,50.00%,71.40%,47.60%,80.00%,50.00%,0.00%,12.50%,0.00%
8,Dario Agrazal\agrazda01,24,PIT,3.58,64.70%,29.10%,11.30%,25.70%,33.90%,70.90%,45.90%,84.10%,57.30%,5.00%,21.80%,43.90%
9,R.J. Alaniz\alanirj01,28,TOT,3.7,60.80%,24.40%,16.90%,26.90%,31.90%,75.60%,46.00%,77.70%,49.30%,2.80%,11.30%,15.40%
10,Matt Albers\alberma01,36,MIL,3.9,60.60%,30.90%,16.60%,24.80%,27.80%,69.10%,41.90%,76.00%,60.50%,5.40%,17.80%,36.80%
11,Hanser Alberto\alberha01,26,BAL,2.86,45.00%,22.20%,0.00%,33.30%,44.40%,77.80%,35.00%,100.00%,42.90%,14.30%,0.00%,
12,Jorge Alcala\alcaljo01,23,MIN,4.14,62.10%,22.20%,27.80%,22.20%,27.80%,77.80%,48.30%,64.30%,71.40%,14.30%,14.30%,100.00%
13,Sandy Alcantara\alcansa01,23,MIA,3.69,64.60%,23.30%,18.20%,28.60%,29.90%,76.70%,49.60%,76.30%,60.40%,4.70%,26.40%,25.80%
14,Victor Alcantara\alcanvi01,26,DET,3.75,65.40%,21.20%,16.50%,31.00%,31.40%,78.80%,51.50%,79.10%,60.70%,3.80%,27.30%,12.50%
15,Scott Alexander*\alexasc02,29,LAD,3.66,64.00%,25.30%,15.70%,25.80%,33.10%,74.70%,47.80%,78.90%,63.20%,5.30%,19.70%,11.10%
16,Tyler Alexander*\alexaty01,24,DET,3.91,67.80%,22.30%,14.10%,34.70%,28.80%,77.70%,52.60%,81.80%,65.10%,2.10%,30.60%,23.40%
17,Kolby Allard*\allarko01,21,TEX,4.03,64.00%,28.50%,13.60%,29.10%,28.70%,71.50%,45.70%,80.90%,58.20%,3.80%,28.80%,27.30%
18,Cody Allen\allenco01,30,LAA,4.24,57.70%,31.30%,18.30%,26.80%,23.60%,68.70%,39.60%,73.30%,52.60%,10.30%,14.70%,20.70%
19,Logan Allen*\allenlo01,22,TOT,3.52,62.70%,23.40%,16.30%,26.60%,33.70%,76.60%,48.00%,78.70%,61.70%,6.30%,24.20%,0.00%
20,Yency Almonte\almonye01,25,COL,3.87,62.20%,21.40%,19.60%,29.10%,29.90%,78.60%,48.80%,75.10%,56.70%,3.80%,20.40%,10.30%
21,Dan Altavilla\altavda01,26,SEA,4.59,62.20%,19.10%,20.80%,41.50%,18.60%,80.90%,50.30%,74.30%,51.60%,7.80%,34.40%,27.80%
22,Aaron Altherr\altheaa01,28,TOT,3.8,73.70%,28.60%,28.60%,21.40%,21.40%,71.40%,52.60%,60.00%,60.00%,0.00%,60.00%,0.00%
23,Jose Alvarado*\alvarjo03,24,TBR,4.01,58.10%,29.10%,21.80%,25.60%,23.50%,70.90%,41.20%,69.30%,47.90%,5.50%,20.50%,20.50%
24,Jose Alvarez*\alvarjo02,30,PHI,3.83,66.80%,22.10%,18.00%,31.80%,28.20%,77.90%,52.00%,77.00%,64.20%,3.90%,33.90%,33.30%
25,Adbert Alzolay\alzolad01,24,CHC,3.75,60.90%,23.40%,20.40%,29.20%,27.00%,76.60%,46.70%,73.30%,61.70%,5.00%,20.00%,15.40%
26,Brett Anderson*\anderbr04,31,OAK,3.56,64.10%,25.80%,12.60%,26.30%,35.30%,74.20%,47.60%,83.00%,59.00%,3.50%,20.60%,20.00%
27,Chase Anderson\anderch01,31,MIL,4.03,64.70%,23.10%,18.10%,32.40%,26.50%,76.90%,49.80%,76.50%,62.10%,3.40%,26.50%,19.40%
28,Cody Anderson\anderco01,28,CLE,4.2,60.60%,23.90%,19.70%,32.50%,23.90%,76.10%,46.10%,74.20%,60.90%,2.20%,30.40%,11.10%
29,Drew Anderson\anderdr02,25,PHI,3.47,58.70%,19.70%,27.90%,23.00%,29.50%,80.30%,47.10%,65.30%,53.30%,16.70%,16.70%,0.00%
30,Justin Anderson\anderju01,26,LAA,4.19,58.80%,22.00%,22.20%,32.80%,23.10%,78.00%,45.80%,71.60%,58.30%,6.40%,24.30%,11.70%
31,Nick Anderson\anderni01,28,TOT,4.17,69.40%,22.10%,29.60%,30.80%,17.50%,77.90%,54.00%,62.00%,67.00%,5.30%,46.20%,20.00%
32,Shaun Anderson\andersh01,24,SFG,3.71,62.30%,22.20%,16.20%,29.60%,32.00%,77.80%,48.50%,79.10%,60.70%,4.40%,16.10%,18.60%
33,Tanner Anderson\anderta01,26,OAK,4.03,61.50%,22.70%,12.70%,33.80%,30.80%,77.30%,47.50%,83.60%,56.20%,6.70%,17.10%,27.80%
34,Tyler Anderson*\anderty01,29,COL,4.04,65.20%,23.30%,18.60%,32.30%,25.80%,76.70%,50.00%,75.70%,62.30%,2.80%,24.50%,8.70%
35,Matt Andriese\andrima01,29,ARI,3.85,64.90%,27.10%,18.40%,28.80%,25.70%,72.90%,47.30%,74.70%,61.00%,5.80%,31.60%,17.70%
36,Victor Arano\aranovi01,24,PHI,4,61.80%,11.90%,45.20%,26.20%,16.70%,88.10%,54.40%,48.60%,47.10%,5.90%,5.90%,0.00%
37,Pedro Araujo\araujpe01,25,BAL,3.5,42.90%,33.30%,0.00%,16.70%,50.00%,66.70%,28.60%,100.00%,50.00%,25.00%,0.00%,
38,Chris Archer\archech01,30,PIT,3.98,63.10%,27.20%,21.60%,26.70%,24.50%,72.80%,45.90%,70.30%,61.30%,5.50%,23.70%,22.40%
39,Rogelio Armenteros\armenro01,25,HOU,4.44,61.30%,24.00%,19.10%,31.40%,25.50%,76.00%,46.50%,74.80%,54.70%,1.30%,20.00%,0.00%
40,Shawn Armstrong\armstsh01,28,TOT,4.18,62.10%,21.20%,21.20%,32.80%,24.90%,78.80%,48.90%,73.20%,56.50%,4.40%,20.70%,23.80%
41,Jake Arrieta\arrieja01,33,PHI,3.69,63.20%,30.40%,12.80%,26.10%,30.70%,69.60%,44.00%,81.70%,58.90%,3.40%,21.70%,34.50%
42,Humberto Arteaga\arteahu01,25,KCR,2.88,60.90%,21.40%,0.00%,28.60%,50.00%,78.60%,47.80%,100.00%,75.00%,0.00%,0.00%,
43,Alex Avila\avilaal01,32,ARI,3.13,56.00%,35.70%,7.10%,14.30%,42.90%,64.30%,36.00%,88.90%,62.50%,25.00%,12.50%,100.00%
44,Pedro Avila\avilape01,22,SDP,3.7,64.70%,32.70%,14.50%,25.50%,27.30%,67.30%,43.50%,78.40%,56.50%,0.00%,21.70%,20.00%
45,Luis Avilan*\avilalu01,29,NYM,4.23,58.00%,27.60%,20.10%,25.30%,27.00%,72.40%,42.00%,72.20%,54.90%,4.90%,17.60%,6.70%
46,Michel Baez\baezmi01,23,SDP,3.98,62.00%,21.40%,18.90%,33.10%,26.60%,78.60%,48.80%,76.00%,58.00%,4.60%,19.10%,10.70%
47,Pedro Baez\baezpe01,31,LAD,4.02,63.40%,18.30%,26.00%,30.10%,25.60%,81.70%,51.80%,68.20%,57.60%,4.30%,26.10%,7.20%
48,Sandy Baez\baezsa01,25,DET,2,80.00%,25.00%,12.50%,0.00%,62.50%,75.00%,60.00%,83.30%,80.00%,0.00%,0.00%,
49,Homer Bailey\baileho02,33,TOT,4.06,64.70%,24.90%,18.20%,30.10%,26.70%,75.10%,48.50%,75.70%,63.60%,4.00%,30.30%,17.40%
